epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,22844.6,0.54481,0.28942,0.92619,0.98783,0.9901,0.99351,0.7957,0.84835,0.27256,1.10869,0.001189,0.001189,0.001189
91,23103.5,0.50064,0.22042,0.90273,0.98891,0.98925,0.9935,0.79615,0.84843,0.27227,1.10886,0.00109,0.00109,0.00109
92,23363.5,0.49568,0.21088,0.90015,0.98911,0.98898,0.99355,0.79606,0.84853,0.27239,1.10908,0.000991,0.000991,0.000991
93,23590.7,0.4916,0.20869,0.89895,0.98852,0.98902,0.99355,0.79662,0.84832,0.27336,1.10911,0.000892,0.000892,0.000892
94,23852.6,0.48426,0.20355,0.8964,0.99121,0.98503,0.99364,0.79587,0.84874,0.27347,1.10958,0.000793,0.000793,0.000793
95,24080.7,0.48017,0.20136,0.89386,0.99127,0.98499,0.9936,0.79661,0.84823,0.27348,1.10945,0.000694,0.000694,0.000694
96,24392.2,0.47446,0.19499,0.89026,0.99135,0.98497,0.9936,0.79659,0.84853,0.27279,1.10966,0.000595,0.000595,0.000595
97,24622,0.47455,0.19629,0.88861,0.99151,0.98492,0.99366,0.7961,0.84869,0.273,1.10985,0.000496,0.000496,0.000496
98,24884.9,0.4674,0.1913,0.88671,0.99141,0.98489,0.99367,0.79609,0.8492,0.27415,1.11012,0.000397,0.000397,0.000397
99,25113.9,0.46388,0.18956,0.88561,0.99136,0.98485,0.9937,0.79729,0.84905,0.27415,1.11036,0.000298,0.000298,0.000298
100,25379.1,0.4594,0.18626,0.88285,0.99129,0.98481,0.99379,0.79808,0.84866,0.27457,1.11035,0.000199,0.000199,0.000199
